iter	Passed	Remaining
0	53	52979
1	54	27337
2	56	18759
3	57	14424
4	59	11829
5	60	10099
6	62	8859
7	65	8139
8	68	7566
9	70	7007
10	71	6437
11	72	5959
12	73	5550
13	73	5203
14	74	4895
15	75	4627
16	75	4379
17	76	4158
18	76	3959
19	77	3781
20	77	3622
21	78	3475
22	78	3343
23	79	3222
24	79	3114
25	80	3010
26	80	2911
27	81	2819
28	81	2733
29	82	2656
30	82	2585
31	83	2517
32	83	2453
33	84	2392
34	84	2335
35	85	2278
36	85	2228
37	86	2177
38	86	2129
39	86	2084
40	87	2041
41	87	1999
42	88	1960
43	88	1922
44	88	1886
45	89	1852
46	89	1819
47	90	1787
48	90	1756
49	90	1727
50	91	1698
51	91	1670
52	91	1643
53	92	1617
54	92	1592
55	93	1568
56	93	1545
57	93	1523
58	94	1501
59	94	1480
60	94	1460
61	95	1442
62	95	1422
63	96	1404
64	96	1388
65	96	1371
66	97	1354
67	97	1338
68	97	1322
69	98	1306
70	98	1290
71	98	1275
72	99	1260
73	99	1246
74	99	1232
75	100	1218
76	100	1204
77	100	1191
78	101	1179
79	101	1166
80	101	1154
81	102	1142
82	102	1129
83	102	1118
84	102	1107
85	103	1096
86	103	1085
87	103	1075
88	104	1065
89	104	1055
90	104	1045
91	105	1036
92	105	1027
93	105	1017
94	105	1009
95	106	1000
96	106	991
97	106	983
98	107	975
99	107	966
100	107	959
101	108	951
102	108	943
103	108	936
104	109	929
105	109	922
106	109	915
107	110	909
108	110	902
109	110	895
110	111	889
111	111	883
112	111	876
113	111	870
114	112	864
115	112	858
116	112	851
117	113	846
118	113	840
119	113	835
120	114	829
121	114	823
122	114	818
123	115	813
124	115	807
125	115	802
126	115	796
127	116	791
128	116	786
129	116	781
130	117	777
131	117	772
132	117	767
133	118	762
134	118	758
135	118	753
136	118	749
137	119	745
138	119	740
139	119	736
140	120	732
141	120	727
142	120	723
143	121	719
144	121	715
145	121	711
146	121	707
147	122	703
148	122	699
149	122	696
150	123	692
151	123	691
152	124	689
153	125	688
154	126	688
155	127	688
156	127	687
157	128	685
158	128	681
159	130	682
160	130	678
161	131	678
162	131	675
163	132	675
164	133	673
165	133	672
166	134	671
167	135	669
168	135	667
169	136	667
170	137	666
171	137	663
172	139	664
173	139	661
174	140	662
175	141	662
176	142	662
177	142	659
178	143	656
179	143	653
180	143	650
181	144	647
182	144	644
183	144	642
184	145	639
185	145	636
186	145	633
187	146	630
188	146	628
189	146	625
190	147	622
191	147	620
192	147	617
193	147	614
194	148	612
195	148	609
196	148	606
197	149	604
198	149	601
199	149	599
200	150	596
201	150	594
202	150	591
203	151	589
204	151	586
205	151	584
206	152	582
207	152	580
208	152	577
209	152	575
210	153	572
211	153	570
212	153	568
213	154	566
214	154	564
215	154	561
216	155	559
217	155	557
218	155	555
219	156	553
220	156	551
221	156	549
222	157	547
223	157	545
224	157	543
225	157	541
226	158	539
227	158	537
228	159	535
229	159	533
230	159	531
231	159	529
232	160	527
233	160	525
234	160	523
235	161	521
236	161	519
237	161	517
238	162	516
239	162	514
240	162	512
241	162	510
242	163	508
243	163	506
244	163	505
245	164	503
246	164	501
247	164	499
248	165	498
249	165	496
250	165	494
251	166	493
252	166	491
253	167	492
254	168	491
255	169	491
256	170	491
257	170	491
258	171	490
259	172	490
260	172	489
261	173	488
262	174	487
263	174	486
264	175	485
265	175	484
266	175	482
267	176	480
268	176	479
269	176	478
270	177	476
271	177	475
272	177	473
273	178	472
274	178	470
275	178	468
276	179	467
277	179	465
278	179	464
279	180	462
280	180	461
281	180	460
282	181	458
283	181	457
284	181	456
285	182	455
286	182	453
287	183	452
288	183	451
289	183	449
290	184	448
291	184	447
292	184	445
293	184	444
294	185	442
295	185	441
296	185	440
297	186	438
298	186	437
299	186	436
300	187	434
301	187	433
302	187	432
303	188	430
304	188	429
305	188	428
306	189	426
307	189	425
308	189	424
309	189	422
310	190	421
311	190	420
312	190	418
313	191	417
314	191	416
315	191	415
316	192	414
317	192	412
318	192	411
319	193	410
320	193	409
321	193	407
322	194	406
323	194	405
324	194	404
325	195	403
326	195	402
327	195	401
328	196	400
329	196	399
330	196	397
331	197	396
332	197	395
333	197	394
334	198	393
335	198	392
336	198	391
337	199	389
338	199	388
339	199	387
340	199	386
341	200	385
342	200	384
343	200	383
344	201	381
345	201	380
346	201	379
347	202	378
348	202	377
349	202	376
350	202	375
351	203	374
352	203	373
353	203	372
354	204	371
355	204	369
356	204	368
357	205	367
358	205	366
359	205	365
360	206	364
361	206	363
362	206	362
363	206	361
364	207	360
365	207	359
366	207	358
367	208	357
368	208	356
369	208	355
370	209	354
371	209	353
372	210	353
373	210	352
374	210	351
375	211	350
376	211	349
377	211	348
378	212	347
379	212	346
380	212	345
381	213	344
382	213	343
383	213	342
384	214	341
385	214	340
386	214	340
387	214	339
388	215	338
389	215	337
390	215	336
391	216	335
392	216	334
393	216	333
394	217	332
395	217	331
396	217	330
397	218	329
398	218	328
399	218	327
400	218	326
401	219	326
402	219	325
403	219	324
404	220	323
405	220	322
406	220	321
407	221	320
408	221	319
409	221	318
410	222	318
411	222	317
412	222	316
413	222	315
414	223	314
415	223	313
416	223	313
417	224	312
418	224	311
419	224	310
420	225	309
421	225	308
422	225	308
423	226	307
424	226	306
425	226	305
426	227	304
427	227	303
428	227	303
429	228	302
430	228	301
431	228	300
432	228	299
433	229	299
434	229	298
435	229	297
436	230	296
437	230	295
438	230	294
439	231	294
440	231	293
441	231	292
442	231	291
443	232	290
444	232	289
445	232	289
446	233	288
447	233	287
448	233	286
449	233	285
450	234	285
451	234	284
452	234	283
453	235	282
454	235	281
455	235	281
456	236	280
457	236	279
458	236	279
459	237	278
460	237	277
461	237	276
462	238	276
463	238	275
464	238	274
465	239	273
466	239	273
467	239	272
468	239	271
469	240	270
470	240	270
471	240	269
472	241	268
473	241	267
474	241	267
475	242	266
476	242	265
477	242	264
478	242	264
479	243	263
480	243	262
481	243	262
482	244	261
483	244	260
484	244	259
485	245	259
486	245	258
487	245	257
488	246	257
489	246	256
490	246	255
491	246	254
492	247	254
493	247	253
494	247	252
495	248	252
496	248	251
497	248	250
498	249	250
499	249	249
500	249	248
501	249	247
502	250	247
503	250	246
